Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,Do,RF Acc,MMD,MAE x3
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,x2=0.0,0.65,0.01994,0.76585
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.02222,0.79427
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.5,0.01913,0.76947
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.01575,0.77202
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.01359,0.76584
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.01884,0.77448
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.02328,0.77344
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.02288,0.78515
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.55,0.02042,0.7714
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.575,0.02477,0.79947
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,x2=0.0,0.65,0.01993,0.7655
3-chain-non-linear,1,42,mse,MSE,1.0,0.0,50,x2=0.0,1.0,0.09035,0.26339
3-chain-non-linear,2,43,mse,MSE,1.0,0.0,50,x2=0.0,1.0,0.04215,0.0657
3-chain-non-linear,3,44,mse,MSE,1.0,0.0,50,x2=0.0,0.975,0.05386,0.12565
3-chain-non-linear,4,45,mse,MSE,1.0,0.0,50,x2=0.0,0.95,0.04218,0.07537
3-chain-non-linear,5,46,mse,MSE,1.0,0.0,50,x2=0.0,1.0,0.05825,0.09405
3-chain-non-linear,6,47,mse,MSE,1.0,0.0,50,x2=0.0,0.975,0.06854,0.09793
3-chain-non-linear,7,48,mse,MSE,1.0,0.0,50,x2=0.0,0.975,0.05308,0.01521
3-chain-non-linear,8,49,mse,MSE,1.0,0.0,50,x2=0.0,1.0,0.06422,0.09137
3-chain-non-linear,9,50,mse,MSE,1.0,0.0,50,x2=0.0,1.0,0.07792,0.17723
3-chain-non-linear,10,51,mse,MSE,1.0,0.0,50,x2=0.0,0.975,0.04668,0.0949
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.975,0.09067,0.26901
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,1.0,0.03986,0.0445
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,1.0,0.05062,0.19231
